tweet_id,rating_numerator,stage,breed,retweet_count,favorite_count
882268110199369728,13,,golden_retriever,12118,45880
882045870035918850,13,,golden_retriever,5203,29900
881906580714921986,12,,Weimaraner,3533,24773
881666595344535552,13,,Saluki,11099,51522
881536004380872706,14,pupper,Samoyed,16570,50199
880872448815771648,12,,Pembroke,3989,21734
880465832366813184,12,,golden_retriever,6546,29075
880221127280381952,12,,Chihuahua,4436,27640
880095782870896641,11,,miniature_pinscher,4533,28150
879862464715927552,13,,basset,3642,22667
879492040517615616,12,,German_short-haired_pointer,3323,23822
879415818425184262,13,,English_springer,45849,107956
879376492567855104,12,,Labrador_retriever,3261,17099
879008229531029506,13,,vizsla,2812,19317
878776093423087618,13,puppo,Italian_greyhound,4319,19763
878604707211726852,13,,,7582,30931
878281511006478336,13,,basset,1349,7913
878057613040115712,14,,French_bulldog,7181,42876
877736472329191424,13,,Chesapeake_Bay_retriever,17300,71144
877556246731214848,12,,basset,3994,23258
877316821321428993,13,,Saluki,5414,27907
877201837425926144,12,,Pembroke,5880,27755
876838120628539392,12,pupper,bloodhound,3506,21125
876537666061221889,14,,,4800,23869
876484053909872640,13,,golden_retriever,2511,19163
876120275196170240,13,,Bernese_mountain_dog,4903,28490
875747767867523072,13,,Labrador_retriever,4497,25773
875144289856114688,13,,Siberian_husky,5081,22185
875097192612077568,13,,,6342,27997
875021211251597312,12,,West_Highland_white_terrier,4922,26022
874680097055178752,12,,Labrador_retriever,4875,28439
874296783580663808,13,pupper,cocker_spaniel,4308,26651
874057562936811520,12,,flat-coated_retriever,4125,23134
874012996292530176,13,puppo,Cardigan,11007,35501
873580283840344065,13,,Newfoundland,4143,24837
873213775632977920,12,pupper,vizsla,1667,7467
872967104147763200,12,doggo,Labrador_retriever,5669,28031
872820683541237760,13,,pug,3884,15029
872620804844003328,13,,cocker_spaniel,3911,21309
872486979161796608,12,,Pembroke,9429,41606
872261713294495745,13,,Labrador_retriever,6649,35085
872122724285648897,12,,pug,8549,35324
871879754684805121,13,,Shetland_sheepdog,11918,39090
871762521631449091,12,pupper,Labrador_retriever,3678,20787
871515927908634625,12,doggo,komondor,3628,20730
871102520638267392,14,doggo,,5764,21461
871032628920680449,13,,kelpie,3999,23255
870656317836468226,13,,Pembroke,2817,12819
870374049280663552,13,,golden_retriever,27680,85011
870308999962521604,13,,Greater_Swiss_Mountain_dog,4384,22453
869772420881756160,13,,Pembroke,10663,43710
869702957897576449,13,,Pembroke,6728,29116
869596645499047938,12,doggo,Chihuahua,3327,16476
869227993411051520,13,,Pembroke,4023,21112
868880397819494401,14,,French_bulldog,12518,55098
868622495443632128,13,,Labrador_retriever,6275,28295
868552278524837888,12,,whippet,2240,10539
867900495410671616,12,,Labrador_retriever,4439,24964
867774946302451713,13,,Border_collie,7788,35179
867421006826221569,12,puppo,Eskimo_dog,2697,16755
867051520902168576,13,,Samoyed,8425,33420
866720684873056260,13,,,5168,20888
866686824827068416,12,,flat-coated_retriever,3727,20070
866450705531457537,13,pupper,French_bulldog,32883,106827
866334964761202691,12,,Samoyed,15546,54720
865718153858494464,13,,golden_retriever,6008,26640
865359393868664832,13,,Chesapeake_Bay_retriever,5384,27530
865006731092295680,13,,Pembroke,8209,29063
864279568663928832,12,,bull_mastiff,3266,15195
864197398364647424,13,,golden_retriever,9616,31459
863553081350529029,13,,Eskimo_dog,4489,15935
863432100342583297,12,,Staffordshire_bullterrier,5664,24829
863062471531167744,13,,French_bulldog,2687,8945
862831371563274240,13,,Australian_terrier,5457,20011
862722525377298433,11,,basset,3809,17779
862096992088072192,13,,chow,21840,66437
861383897657036800,13,,Cardigan,11528,37744
861288531465048066,13,,Bouvier_des_Flandres,4479,18032
861005113778896900,12,,German_shepherd,4119,17538
860563773140209665,13,,Cardigan,2334,7878
860524505164394496,13,,Bedlington_terrier,5698,24678
859924526012018688,12,,French_bulldog,4349,20021
859851578198683649,13,,Labrador_retriever,3780,16105
859607811541651456,13,puppo,golden_retriever,1704,19476
859196978902773760,12,,malamute,25661,75193
858843525470990336,13,doggo,golden_retriever,3771,16304
858471635011153920,13,,Pembroke,5271,22640
858107933456039936,12,,golden_retriever,3154,16524
857989990357356544,12,,French_bulldog,2812,16952
857746408056729600,13,,Labrador_retriever,11524,36021
857393404942143489,13,,malamute,1785,6236
857263160327368704,13,,Samoyed,4934,21041
857029823797047296,12,,golden_retriever,4364,19910
856543823941562368,12,,Boston_bull,3131,17135
856282028240666624,14,,Chihuahua,6841,29086
855857698524602368,13,,,2313,12498
855851453814013952,13,puppo,flat-coated_retriever,19196,47844
855818117272018944,13,,,5943,28056
855459453768019968,12,,Blenheim_spaniel,8987,31657
854732716440526848,12,,Pembroke,6690,24188
854482394044301312,13,,Chihuahua,7608,31131
854365224396361728,13,,Pembroke,5159,20046
854120357044912130,14,pupper,black-and-tan_coonhound,8285,33911
854010172552949760,11,floofer,English_springer,3433,17169
853760880890318849,12,,miniature_pinscher,6403,30414
853639147608842240,13,,German_shepherd,11265,37198
852912242202992640,12,,Great_Dane,2037,9658
852672615818899456,12,,golden_retriever,2388,15939
852553447878664193,13,,bloodhound,3885,17492
852189679701164033,12,,Bernese_mountain_dog,1741,12217
851591660324737024,11,,Cardigan,3819,17300
851224888060895234,13,,standard_poodle,6350,22090
850753642995093505,11,,pug,10352,33348
850380195714523136,13,,Yorkshire_terrier,2915,13994
850145622816686080,11,,kelpie,4244,17519
850019790995546112,12,pupper,Shetland_sheepdog,5459,21944
849776966551130114,12,,Chihuahua,8404,32390
